province_code,kabupaten_code,kecamatan_code,lat,lng,province_name,kabupaten_name,kecamatan_name
11,2,42,2.5349325,97.9374948,NANGGROE ACEH DARUSSALAM,ACEH SINGKIL,SINGKOHOR
11,4,10,3.437859,97.8177601,NANGGROE ACEH DARUSSALAM,ACEH TENGGARA,LAWE ALAS
11,4,20,3.356981,97.9266015,NANGGROE ACEH DARUSSALAM,ACEH TENGGARA,LAWE SIGALA-GALA
11,4,21,3.3165133,97.991986,NANGGROE ACEH DARUSSALAM,ACEH TENGGARA,BABUL MAKMUR
11,4,30,3.4571553,97.90482,NANGGROE ACEH DARUSSALAM,ACEH TENGGARA,BAMBEL
11,4,40,3.4930695,97.8014482,NANGGROE ACEH DARUSSALAM,ACEH TENGGARA,BABUSSALAM
11,5,130,4.9623026,97.7525352,NANGGROE ACEH DARUSSALAM,ACEH TIMUR,IDI RAYEUK
11,5,131,4.8791578,97.8177601,NANGGROE ACEH DARUSSALAM,ACEH TIMUR,PEUDAWA
11,6,31,4.5808815,96.8887202,NANGGROE ACEH DARUSSALAM,ACEH TENGAH,LUT TAWAR
11,9,160,5.3183545,95.9356872,NANGGROE ACEH DARUSSALAM,PIDIE,INDRAJAYA
11,9,180,5.31218,96.0361574,NANGGROE ACEH DARUSSALAM,PIDIE,KEMBANG TANJUNG
11,10,80,5.2008992,96.7601057,NANGGROE ACEH DARUSSALAM,BIREUEN,PEUSANGAN
11,11,160,5.245533,96.9477532,NANGGROE ACEH DARUSSALAM,ACEH UTARA,MUARA BATU
11,71,20,5.5457794,95.3180926,NANGGROE ACEH DARUSSALAM,BANDA ACEH,BAITURRAHMAN
11,73,30,4.4757799,97.9641022,NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA KOTA
12,1,60,1.0299382,97.7634019,SUMATERA UTARA,NIAS,IDANO GAWO
12,1,62,0.9826667,97.7090854,SUMATERA UTARA,NIAS,ULUGAWO
12,1,140,1.2682369,97.6005786,SUMATERA UTARA,NIAS,GUNUNG SITOLI
12,2,10,0.396003,99.141617,SUMATERA UTARA,MANDAILING NATAL,BATAHAN
12,2,50,0.874139,99.6118667,SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN
12,2,60,0.555978,99.117393,SUMATERA UTARA,MANDAILING NATAL,NATAL
12,2,81,0.9778694,99.5562219,SUMATERA UTARA,MANDAILING NATAL,BUKIT MALINTANG
12,3,10,1.2153324,99.2563859,SUMATERA UTARA,TAPANULI SELATAN,BATANG ANGKOLA
12,3,30,1.5774933,99.2785583,SUMATERA UTARA,TAPANULI SELATAN,BARUMUN
12,3,32,1.5774933,99.2785583,SUMATERA UTARA,TAPANULI SELATAN,LUBUK BARUMUN
12,3,40,1.5774933,99.2785583,SUMATERA UTARA,TAPANULI SELATAN,SOSA
12,3,52,1.0488369,99.4950555,SUMATERA UTARA,TAPANULI SELATAN,SIMANGAMBAT
12,3,70,1.4815822,99.3451118,SUMATERA UTARA,TAPANULI SELATAN,PADANG SIDEMPUAN TIMUR
12,3,90,1.4061329,99.1234795,SUMATERA UTARA,TAPANULI SELATAN,PADANG SIDEMPUAN BARAT
12,3,100,1.5592261,99.0792263,SUMATERA UTARA,TAPANULI SELATAN,BATANG TORU
12,3,101,1.516667,99.166667,SUMATERA UTARA,TAPANULI SELATAN,MARANCAR
12,3,140,1.5378286,99.5896043,SUMATERA UTARA,TAPANULI SELATAN,PADANG BOLAK
12,3,150,1.6134933,99.7678687,SUMATERA UTARA,TAPANULI SELATAN,HALONGONAN
12,3,160,1.8456947,99.4117197,SUMATERA UTARA,TAPANULI SELATAN,SAIPAR DOLOK HOLE
12,4,10,1.5313967,98.8693609,SUMATERA UTARA,TAPANULI TENGAH,PINANG SORI
12,4,11,1.5985142,98.8583309,SUMATERA UTARA,TAPANULI TENGAH,BADIRI
12,4,20,1.5883012,99.0018424,SUMATERA UTARA,TAPANULI TENGAH,SIBABANGUN
12,4,30,1.689785,98.8417888,SUMATERA UTARA,TAPANULI TENGAH,PANDAN
12,4,31,1.7133267,98.9466146,SUMATERA UTARA,TAPANULI TENGAH,TUKKA
12,4,40,1.7911565,98.770147,SUMATERA UTARA,TAPANULI TENGAH,TAPIAN NAULI
12,4,50,1.8685224,98.7260927,SUMATERA UTARA,TAPANULI TENGAH,KOLANG
12,4,60,1.8957267,98.5968293,SUMATERA UTARA,TAPANULI TENGAH,SORKAM
12,4,70,2.012441,98.399406,SUMATERA UTARA,TAPANULI TENGAH,BARUS
12,4,72,2.0735552,98.385532,SUMATERA UTARA,TAPANULI TENGAH,ANDAM DEWI
12,4,80,2.1812448,98.2431747,SUMATERA UTARA,TAPANULI TENGAH,MANDUAMAS
12,5,40,1.866667,98.9,SUMATERA UTARA,TAPANULI UTARA,ADIANKOTING
12,5,50,2.0610237,98.9024603,SUMATERA UTARA,TAPANULI UTARA,SIPOHOLON
12,5,60,2.0121688,98.9797467,SUMATERA UTARA,TAPANULI UTARA,TARUTUNG
12,5,70,1.8667206,99.0792263,SUMATERA UTARA,TAPANULI UTARA,PAHAE JULU
12,5,90,2.005759,99.16256,SUMATERA UTARA,TAPANULI UTARA,PANGARIBUAN
12,5,120,2.2155425,99.0349977,SUMATERA UTARA,TAPANULI UTARA,SIBORONG-BORONG
12,6,30,2.3337119,99.083252,SUMATERA UTARA,TOBA SAMOSIR,BALIGE
12,6,40,2.3314866,99.1677572,SUMATERA UTARA,TOBA SAMOSIR,LAGU BOTI
12,6,50,2.3692818,99.3451118,SUMATERA UTARA,TOBA SAMOSIR,HABINSARAN
12,6,60,2.4476333,99.3007367,SUMATERA UTARA,TOBA SAMOSIR,SILAEN
12,6,70,2.461736,99.136017,SUMATERA UTARA,TOBA SAMOSIR,PORSEA
12,6,71,2.5347113,99.4228263,SUMATERA UTARA,TOBA SAMOSIR,PINTU POHAN MERANTI
12,7,10,1.7470756,99.8794744,SUMATERA UTARA,LABUHAN BATU,SUNGAI KANAN
12,7,20,1.6877896,100.2151578,SUMATERA UTARA,LABUHAN BATU,TORGAMBA
12,7,30,1.8998349,100.0583451,SUMATERA UTARA,LABUHAN BATU,KOTA PINANG
12,7,50,2.016312,99.9241575,SUMATERA UTARA,LABUHAN BATU,BILAH HULU
12,7,60,2.0724054,100.2151578,SUMATERA UTARA,LABUHAN BATU,KAMPUNG RAKYAT
12,7,70,2.15,100,SUMATERA UTARA,LABUHAN BATU,PANGKATAN
12,7,80,2.0560544,99.745565,SUMATERA UTARA,LABUHAN BATU,BILAH BARAT
12,7,100,2.3439863,100.1703257,SUMATERA UTARA,LABUHAN BATU,AEK NATAS
12,7,130,2.3253633,100.0583451,SUMATERA UTARA,LABUHAN BATU,BILAH HILIR
12,7,140,2.4316223,100.1591213,SUMATERA UTARA,LABUHAN BATU,PANAI HULU
12,8,10,2.7806672,99.3229213,SUMATERA UTARA,ASAHAN,BANDAR PASIR MANDOGE
12,8,40,2.854921,99.8571416,SUMATERA UTARA,ASAHAN,SEI KEPAYANG
12,8,60,2.8755633,99.745565,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT
12,8,70,2.8667652,99.6230001,SUMATERA UTARA,ASAHAN,AIR BATU
12,8,90,3.0838599,99.6230001,SUMATERA UTARA,ASAHAN,MERANTI
12,9,10,2.9538144,98.6270628,SUMATERA UTARA,SIMALUNGUN,SILIMAKUTA
12,9,40,2.8526563,98.9355737,SUMATERA UTARA,SIMALUNGUN,SIDAMANIK
12,9,41,2.7743416,98.8693609,SUMATERA UTARA,SIMALUNGUN,PEMATANG SIDAMANIK
12,9,50,2.6456467,98.9907938,SUMATERA UTARA,SIMALUNGUN,GIRSANG SIPANGAN BOLON
12,9,60,2.8901607,99.1788304,SUMATERA UTARA,SIMALUNGUN,TANAH JAWA
12,9,90,2.9540625,99.0707152,SUMATERA UTARA,SIMALUNGUN,PANE
12,9,91,2.8921141,98.9355737,SUMATERA UTARA,SIMALUNGUN,PANOMBEIAN PANEI
12,9,100,2.9618688,98.8583309,SUMATERA UTARA,SIMALUNGUN,RAYA
12,9,130,3.1199207,98.9024603,SUMATERA UTARA,SIMALUNGUN,RAYA KAHEAN
12,9,140,3.078769,99.0792263,SUMATERA UTARA,SIMALUNGUN,TAPIAN DOLOK
12,9,150,3.127637,99.1566855,SUMATERA UTARA,SIMALUNGUN,DOLOK BATUNANGGAR
12,9,160,2.9497365,99.1345466,SUMATERA UTARA,SIMALUNGUN,SIANTAR
12,9,161,3.0282416,99.2009815,SUMATERA UTARA,SIMALUNGUN,GUNUNG MALELA
12,9,162,3.0484063,99.1566855,SUMATERA UTARA,SIMALUNGUN,GUNUNG MALIGAS
12,9,171,2.9687513,99.2231387,SUMATERA UTARA,SIMALUNGUN,JAWA MARAJA BAH JAMBI
12,9,180,3.10704,99.245302,SUMATERA UTARA,SIMALUNGUN,PEMATANG BANDAR
12,9,181,3.1470728,99.2009815,SUMATERA UTARA,SIMALUNGUN,BANDAR HULUAN
12,9,190,3.1857464,99.3118282,SUMATERA UTARA,SIMALUNGUN,BANDAR
12,9,191,3.2455087,99.2896468,SUMATERA UTARA,SIMALUNGUN,BANDAR MASILAM
12,9,200,3.0760647,99.389511,SUMATERA UTARA,SIMALUNGUN,BOSAR MALIGAS
12,9,210,3.0357191,99.4783816,SUMATERA UTARA,SIMALUNGUN,UJUNG PADANG
12,10,30,2.7439024,98.3143192,SUMATERA UTARA,DAIRI,SIDIKALANG
12,10,40,2.6493899,98.4622987,SUMATERA UTARA,DAIRI,PARBULUAN
12,10,50,2.766667,98.25,SUMATERA UTARA,DAIRI,SUMBUL
12,10,51,2.7570828,98.539144,SUMATERA UTARA,DAIRI,SILAHI SAMBUNGAN
12,10,70,2.8384977,98.1884949,SUMATERA UTARA,DAIRI,SIEMPAT NEMPU
12,10,80,2.8479823,98.2431747,SUMATERA UTARA,DAIRI,SIEMPAT NEMPU HULU
12,10,100,2.897309,98.2541155,SUMATERA UTARA,DAIRI,TIGA LINGGA
12,10,120,3.0075788,98.068343,SUMATERA UTARA,DAIRI,TANAH PINEM
12,11,10,3.2464485,98.0247005,SUMATERA UTARA,KARO,MARDINDING
12,11,40,3.0059333,98.2869478,SUMATERA UTARA,KARO,JUHAR
12,11,50,3.0547314,98.385532,SUMATERA UTARA,KARO,MUNTE
12,11,80,3.1335943,98.4513272,SUMATERA UTARA,KARO,SIMPANG EMPAT
12,11,90,3.1059162,98.4979672,SUMATERA UTARA,KARO,KABANJAHE
12,11,100,3.185291,98.504913,SUMATERA UTARA,KARO,BERASTAGI
12,11,110,3.0774333,98.5248628,SUMATERA UTARA,KARO,TIGAPANAH
12,11,120,2.9412219,98.518471,SUMATERA UTARA,KARO,MEREK
12,12,30,3.3217968,98.5501283,SUMATERA UTARA,DELI SERDANG,SIBOLANGIT
12,12,50,3.4712349,98.5830907,SUMATERA UTARA,DELI SERDANG,PANCUR BATU
12,12,80,3.3601177,98.7260927,SUMATERA UTARA,DELI SERDANG,S.TANJUNGMUDA HILIR
12,12,90,3.3593222,98.8142264,SUMATERA UTARA,DELI SERDANG,BANGUN PURBA
12,12,190,3.416667,98.9,SUMATERA UTARA,DELI SERDANG,GALANG
12,12,200,3.5190779,98.8142264,SUMATERA UTARA,DELI SERDANG,TANJUNG MORAWA
12,12,210,3.4949604,98.7205877,SUMATERA UTARA,DELI SERDANG,PETUMBAK
12,12,230,3.611391,98.5830907,SUMATERA UTARA,DELI SERDANG,SUNGGAL
12,12,240,3.7618891,98.5940814,SUMATERA UTARA,DELI SERDANG,HAMPARAN PERAK
12,12,250,3.6711541,98.6270628,SUMATERA UTARA,DELI SERDANG,LABUHAN DELI
12,12,260,3.6396672,98.770147,SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN
12,12,290,3.6286693,98.8693609,SUMATERA UTARA,DELI SERDANG,BERINGIN
12,12,300,3.5663315,98.8751518,SUMATERA UTARA,DELI SERDANG,LUBUK PAKAM
12,12,310,3.5281289,98.9134965,SUMATERA UTARA,DELI SERDANG,PAGAR MARBAU
12,13,40,3.4831174,98.3745717,SUMATERA UTARA,LANGKAT,KUALA
12,13,50,3.60291,98.4184224,SUMATERA UTARA,LANGKAT,SELESAI
12,13,60,3.6728406,98.4513272,SUMATERA UTARA,LANGKAT,BINJAI
12,13,70,3.7505313,98.4705284,SUMATERA UTARA,LANGKAT,STABAT
12,13,100,3.805564,98.2431747,SUMATERA UTARA,LANGKAT,SAWIT SEBERANG
12,13,140,3.964758,98.4622987,SUMATERA UTARA,LANGKAT,TANJUNG PURA
12,13,160,4.0367487,98.3417006,SUMATERA UTARA,LANGKAT,BABALAN
12,13,170,3.8068124,98.1120116,SUMATERA UTARA,LANGKAT,SEI LEPAN
12,14,50,0.7650603,97.8503951,SUMATERA UTARA,NIAS SELATAN,LAHUSA
12,14,60,0.8878405,97.7960118,SUMATERA UTARA,NIAS SELATAN,GOMO
12,14,80,0.7086091,97.8286368,SUMATERA UTARA,NIAS SELATAN,LOLO WA'U
12,15,50,2.2555384,98.8583309,SUMATERA UTARA,HUMBANG HASUNDUTAN,LINTONG NIHUTA
12,16,10,2.555394,98.324753,SUMATERA UTARA,PAKPAK BHARAT,SALAK
12,16,20,2.6406763,98.2978951,SUMATERA UTARA,PAKPAK BHARAT,KERAJAAN
12,17,10,2.609192,98.5940814,SUMATERA UTARA,SAMOSIR,SIANJUR MULA MULA
12,17,20,2.5307213,98.5940814,SUMATERA UTARA,SAMOSIR,HARIAN
12,18,10,3.2693962,98.8473024,SUMATERA UTARA,SERDANG BEDAGAI,KOTARIH
12,18,40,3.3805315,99.2082661,SUMATERA UTARA,SERDANG BEDAGAI,TEBINGTINGGI
12,18,50,3.424848,99.2674713,SUMATERA UTARA,SERDANG BEDAGAI,BANDAR KHALIPAH
12,18,60,3.4851438,99.2231387,SUMATERA UTARA,SERDANG BEDAGAI,TANJUNG BERINGIN
12,18,70,3.4935838,99.1262461,SUMATERA UTARA,SERDANG BEDAGAI,SEI RAMPAH
12,18,80,3.3174612,99.0349977,SUMATERA UTARA,SERDANG BEDAGAI,DOLOK MASIHUL
12,18,90,3.568222,98.947144,SUMATERA UTARA,SERDANG BEDAGAI,PERBAUNGAN
12,19,20,3.1528327,99.6564092,SUMATERA UTARA,BATU BARA,TANJUNG TIRAM
12,19,50,3.2842122,99.4006146,SUMATERA UTARA,BATU BARA,AIR PUTIH
12,19,60,3.3246163,99.3340158,SUMATERA UTARA,BATU BARA,SEI SUKA
12,71,10,1.7501641,98.7839191,SUMATERA UTARA,SIBOLGA,SIBOLGA UTARA
12,71,20,1.7368371,98.7851121,SUMATERA UTARA,SIBOLGA,SIBOLGA KOTA
12,71,30,1.7308411,98.8004489,SUMATERA UTARA,SIBOLGA,SIBOLGA SELATAN
12,71,31,1.7321144,98.7852965,SUMATERA UTARA,SIBOLGA,SIBOLGA SAMBAS
12,72,11,2.9438292,99.8236533,SUMATERA UTARA,TANJUNG BALAI,DATUK BANDAR TIMUR
12,72,40,2.9885529,99.7846002,SUMATERA UTARA,TANJUNG BALAI,SEI TUALANG RASO
12,72,50,3.0080878,99.8069141,SUMATERA UTARA,TANJUNG BALAI,TELUK NIBUNG
12,73,10,2.9427623,99.0819914,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR MARIHAT
12,73,20,2.9466357,99.0612554,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR SELATAN
12,73,30,2.9528658,99.0543447,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR BARAT
12,73,40,2.9725353,99.0654022,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR UTARA
12,73,50,2.962563,99.0764613,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR TIMUR
12,73,60,2.9947062,99.0736964,SUMATERA UTARA,PEMATANG SIANTAR,SIANTAR MARTOBA
12,74,10,3.2991552,99.1317797,SUMATERA UTARA,TEBING TINGGI,PADANG HULU
12,74,20,3.3436308,99.1649891,SUMATERA UTARA,TEBING TINGGI,RAMBUTAN
12,74,30,3.328595,99.176062,SUMATERA UTARA,TEBING TINGGI,PADANG HILIR
12,75,10,3.5258916,98.6215649,SUMATERA UTARA,MEDAN,MEDAN TUNTUNGAN
12,75,20,3.5354881,98.6655592,SUMATERA UTARA,MEDAN,MEDAN JOHOR
12,75,30,3.5450819,98.7095789,SUMATERA UTARA,MEDAN,MEDAN AMPLAS
12,75,40,3.5750125,98.7205877,SUMATERA UTARA,MEDAN,MEDAN DENAI
12,75,50,3.5777001,98.7013233,SUMATERA UTARA,MEDAN,MEDAN AREA
12,75,60,3.5951956,98.6722227,SUMATERA UTARA,MEDAN,MEDAN KOTA
12,75,70,3.5741145,98.6834392,SUMATERA UTARA,MEDAN,MEDAN MAIMUN
12,75,80,3.5628582,98.6759913,SUMATERA UTARA,MEDAN,MEDAN POLONIA
12,75,90,3.5681028,98.6573084,SUMATERA UTARA,MEDAN,MEDAN BARU
12,75,100,3.5558188,98.6325611,SUMATERA UTARA,MEDAN,MEDAN SELAYANG
12,75,110,3.5759525,98.6215649,SUMATERA UTARA,MEDAN,MEDAN SUNGGAL
12,75,120,3.6059085,98.6325611,SUMATERA UTARA,MEDAN,MEDAN HELVETIA
12,75,130,3.5956772,98.6545583,SUMATERA UTARA,MEDAN,MEDAN PETISAH
12,75,140,3.6080728,98.6683097,SUMATERA UTARA,MEDAN,MEDAN BARAT
12,75,150,3.6254299,98.6875659,SUMATERA UTARA,MEDAN,MEDAN TIMUR
12,75,160,3.6078618,98.6903172,SUMATERA UTARA,MEDAN,MEDAN PERJUANGAN
12,75,170,3.6077561,98.7013233,SUMATERA UTARA,MEDAN,MEDAN TEMBUNG
12,75,180,3.6556227,98.6765618,SUMATERA UTARA,MEDAN,MEDAN DELI
12,75,190,3.7307552,98.6930685,SUMATERA UTARA,MEDAN,MEDAN LABUHAN
12,75,200,3.7160675,98.6545583,SUMATERA UTARA,MEDAN,MEDAN MARELAN
12,75,210,3.784303,98.694221,SUMATERA UTARA,MEDAN,MEDAN KOTA BELAWAN
12,76,10,3.5723299,98.4732718,SUMATERA UTARA,BINJAI,BINJAI SELATAN
12,76,20,3.6135482,98.5025286,SUMATERA UTARA,BINJAI,BINJAI KOTA
12,76,40,3.6472775,98.5007116,SUMATERA UTARA,BINJAI,BINJAI UTARA
12,77,10,1.3721801,99.2730146,SUMATERA UTARA,PADANG SIDEMPUAN,PADANGSIDIMPUAN TENGGARA
12,77,20,1.4033088,99.235318,SUMATERA UTARA,PADANG SIDEMPUAN,PADANGSIDEMPUAN SELATAN
12,77,30,1.4102175,99.2951916,SUMATERA UTARA,PADANG SIDEMPUAN,PADANGSIDIMPUAN BATUNADUA
12,77,40,1.391283,99.2619284,SUMATERA UTARA,PADANG SIDEMPUAN,PADANGSIDIMPUAN UTARA
12,77,50,1.4295182,99.2397606,SUMATERA UTARA,PADANG SIDEMPUAN,PADANGSIDEMPUAN HUTAIMBARU
13,1,20,-2.2308601,99.6786894,SUMATERA BARAT,KEPULAUAN MENTAWAI,SIPORA
13,2,20,-2.159636,101.0771029,SUMATERA BARAT,PESISIR SELATAN,BASA IV BALAI TAPAN
13,2,30,-2.0475001,101.048549,SUMATERA BARAT,PESISIR SELATAN,PANCUNG SOAL
13,2,60,-1.5317693,100.8451467,SUMATERA BARAT,PESISIR SELATAN,LENGAYANG
13,2,90,-1.2480127,100.6421799,SUMATERA BARAT,PESISIR SELATAN,IV JURAI
13,2,100,-1.2579817,100.5183622,SUMATERA BARAT,PESISIR SELATAN,BAYANG
13,3,50,-1.1341375,100.7774424,SUMATERA BARAT,SOLOK,LEMBAH GUMANTI
13,3,70,-0.9743214,100.7210593,SUMATERA BARAT,SOLOK,LEMBANG JAYA
13,4,50,-0.7759907,101.2977322,SUMATERA BARAT,SAWAHLUNTO/SIJUNJUNG,KAMANG BARU
13,4,60,-0.8324707,101.1390878,SUMATERA BARAT,SAWAHLUNTO/SIJUNJUNG,TANJUNG GADANG
13,4,70,-0.6881586,100.997658,SUMATERA BARAT,SAWAHLUNTO/SIJUNJUNG,SIJUNJUNG
13,4,80,-0.7304103,100.8790171,SUMATERA BARAT,SAWAHLUNTO/SIJUNJUNG,IV NAGARI
13,5,10,-0.424324,100.3722477,SUMATERA BARAT,TANAH DATAR,SEPULUH KOTO
13,5,20,-0.498456,100.4621366,SUMATERA BARAT,TANAH DATAR,BATIPUH
13,5,30,-0.4519812,100.4958678,SUMATERA BARAT,TANAH DATAR,PARIANGAN
13,5,40,-0.5261654,100.5633676,SUMATERA BARAT,TANAH DATAR,RAMBATAN
13,5,50,-0.4565124,100.5689948,SUMATERA BARAT,TANAH DATAR,LIMA KAUM
13,5,60,-0.4610412,100.6421799,SUMATERA BARAT,TANAH DATAR,TANJUNG EMAS
13,5,100,-0.3962919,100.5408622,SUMATERA BARAT,TANAH DATAR,SUNGAI TARAB
13,5,110,-0.3407234,100.5633676,SUMATERA BARAT,TANAH DATAR,SALIMPAUNG
13,6,10,-0.7597873,100.3273368,SUMATERA BARAT,PADANG PARIAMAN,BATANG ANAI
13,6,20,-0.6850063,100.3273368,SUMATERA BARAT,PADANG PARIAMAN,LUBUK ALUNG
13,6,30,-0.6946171,100.2039477,SUMATERA BARAT,PADANG PARIAMAN,ULAKAN TAPAKIS
13,6,50,-0.5546757,100.2151578,SUMATERA BARAT,PADANG PARIAMAN,II.X.XI.VI.LINGKUNG
13,6,51,-0.5546757,100.2151578,SUMATERA BARAT,PADANG PARIAMAN,VI.LINGKUNG
13,6,52,-0.5358675,100.3273368,SUMATERA BARAT,PADANG PARIAMAN,2 X 11 KAYU TANAM
13,6,60,-0.5831178,100.2212014,SUMATERA BARAT,PADANG PARIAMAN,VII KOTO SUNGAI SARIK
13,6,70,-0.471047,100.1591213,SUMATERA BARAT,PADANG PARIAMAN,V KOTO KP DALAM
13,6,71,-0.4709476,100.2263694,SUMATERA BARAT,PADANG PARIAMAN,V KOTO TIMUR
13,6,80,-0.5083782,100.0695367,SUMATERA BARAT,PADANG PARIAMAN,SUNGAI LIMAU
13,7,10,-0.2396563,99.8348146,SUMATERA BARAT,AGAM,TANJUNG MUTIARA
13,7,20,-0.3135292,100.0135929,SUMATERA BARAT,AGAM,LUBUK BASUNG
13,7,21,-0.2025771,100.0135929,SUMATERA BARAT,AGAM,IV NAGARI
13,7,30,-0.3133546,100.1927389,SUMATERA BARAT,AGAM,TANJUNG RAYA
13,7,40,-0.2762774,100.2824483,SUMATERA BARAT,AGAM,MATUR
13,7,50,-0.3409944,100.3161126,SUMATERA BARAT,AGAM,IV KOTO
13,7,61,-0.3409212,100.383479,SUMATERA BARAT,AGAM,BANUHAMPU
13,7,62,-0.1886023,100.2319757,SUMATERA BARAT,AGAM,SUNGAI PUAR
13,7,70,-0.2853883,100.4284178,SUMATERA BARAT,AGAM,EMPAT ANGKAT CANDUNG
13,7,71,-0.2853883,100.4284178,SUMATERA BARAT,AGAM,CANDUNG
13,7,80,-0.2668535,100.4958678,SUMATERA BARAT,AGAM,BASO
13,7,90,-0.2484794,100.383479,SUMATERA BARAT,AGAM,TILATANG KAMANG
13,7,91,-0.2023201,100.417181,SUMATERA BARAT,AGAM,KAMANG MAGEK
13,7,100,-0.1655721,100.1927389,SUMATERA BARAT,AGAM,PALEMBAYAN
13,7,110,-0.1286793,100.2824483,SUMATERA BARAT,AGAM,PALUPUH
13,8,10,-0.1377429,100.608395,SUMATERA BARAT,LIMA PULUH KOTO,PAYAKUMBUH
13,8,11,-0.2299179,100.5183622,SUMATERA BARAT,LIMA PULUH KOTO,AKABILURU
13,8,20,-0.7399397,100.8000051,SUMATERA BARAT,LIMA PULUH KOTO,LUHAK
13,8,22,-0.3036745,100.6309169,SUMATERA BARAT,LIMA PULUH KOTO,SITUJUAH LAMO NAGARI
13,8,30,-0.1285112,100.6872457,SUMATERA BARAT,LIMA PULUH KOTO,HARAU
13,8,40,-0.1377833,100.5183622,SUMATERA BARAT,LIMA PULUH KOTO,GUGUK
13,8,41,-0.0550389,100.5971361,SUMATERA BARAT,LIMA PULUH KOTO,MUNGKA
13,8,60,-0.0550789,100.3722477,SUMATERA BARAT,LIMA PULUH KOTO,GUNUANG OMEH
13,9,70,0.0183585,100.2375823,SUMATERA BARAT,PASAMAN,BONJOL
13,9,80,0.126017,100.170502,SUMATERA BARAT,PASAMAN,LUBUK SIKAPING
13,9,100,0.1288752,99.7901781,SUMATERA BARAT,PASAMAN,II KOTO
13,10,30,-1.2263741,101.2977322,SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANGHARI
13,10,40,-1.4734556,101.0938079,SUMATERA BARAT,SOLOK SELATAN,SUNGAI PAGU
13,11,10,-0.7399397,100.8000051,SUMATERA BARAT,DHARMAS RAYA,SUNGAI RUMBAI
13,11,20,-1.1305805,101.6840589,SUMATERA BARAT,DHARMAS RAYA,KOTO BARU
13,11,30,-1.0119,101.654099,SUMATERA BARAT,DHARMAS RAYA,SITIUNG
13,11,40,-1.0185929,101.5020752,SUMATERA BARAT,DHARMAS RAYA,PULAU PUNJUNG
13,12,90,0.0275782,99.8013351,SUMATERA BARAT,PASAMAN BARAT,LUHAK NAN DUO
13,71,10,-1.031713,100.4284178,SUMATERA BARAT,PADANG,BUNGUS TELUK KABUNG
13,71,20,-0.9562395,100.4958678,SUMATERA BARAT,PADANG,LUBUK KILANGAN
13,71,30,-0.9622905,100.403424,SUMATERA BARAT,PADANG,LUBUK BEGALUNG
13,71,40,-0.9801467,100.3666326,SUMATERA BARAT,PADANG,PADANG SELATAN
13,71,50,-0.9425033,100.3778632,SUMATERA BARAT,PADANG,PADANG TIMUR
13,71,60,-0.9449121,100.3582107,SUMATERA BARAT,PADANG,PADANG BARAT
13,71,70,-0.9143856,100.3554035,SUMATERA BARAT,PADANG,PADANG UTARA
13,71,80,-0.8955743,100.3666326,SUMATERA BARAT,PADANG,NANGGALO
13,71,90,-0.9001549,100.4059456,SUMATERA BARAT,PADANG,KURANJI
13,71,100,-0.8717197,100.5071143,SUMATERA BARAT,PADANG,PAUH
13,71,110,-0.7970019,100.417181,SUMATERA BARAT,PADANG,KOTO TANGAH
13,72,10,-0.7885335,100.6549823,SUMATERA BARAT,SOLOK,LUBUK SIKARAH
13,72,20,-0.7885335,100.6549823,SUMATERA BARAT,SOLOK,TANJUNG HARAPAN
13,74,10,-0.4652798,100.3992289,SUMATERA BARAT,PADANG PANJANG,PADANG PANJANG BARAT
13,74,20,-0.4652798,100.3992289,SUMATERA BARAT,PADANG PANJANG,PADANG PANJANG TIMUR
13,75,10,-0.3062432,100.3694401,SUMATERA BARAT,BUKITTINGGI,GUGUK PANJANG
13,75,20,-0.3039178,100.383479,SUMATERA BARAT,BUKITTINGGI,MANDIANGIN KOTO SELAYAN
13,75,30,-0.3200995,100.386287,SUMATERA BARAT,BUKITTINGGI,AUR BIRUGO TIGO BALEH
13,76,10,-0.2344574,100.614025,SUMATERA BARAT,PAYAKUMBUH,PAYAKUMBUH BARAT
13,76,20,-0.2252024,100.659077,SUMATERA BARAT,PAYAKUMBUH,PAYAKUMBUH TIMUR
13,76,30,-0.2067837,100.6365483,SUMATERA BARAT,PAYAKUMBUH,PAYAKUMBUH UTARA
13,77,10,-0.6433564,100.1535196,SUMATERA BARAT,PARIAMAN,PARIAMAN SELATAN
13,77,20,-0.6247364,100.1311163,SUMATERA BARAT,PARIAMAN,PARIAMAN TENGAH
13,77,30,-0.578133,100.1199168,SUMATERA BARAT,PARIAMAN,PARIAMAN UTARA
14,1,10,-0.7009683,101.47935,RIAU,KUANTAN SENGINGI,KUANTAN MUDIK
14,1,11,-0.5711125,101.3658004,RIAU,KUANTAN SENGINGI,HULU KUANTAN
14,1,50,-0.3946279,101.7637775,RIAU,KUANTAN SENGINGI,KUANTAN HILIR
